id,name,display_desc,category,location,img
1813,French Fries,,Side,ABC Commissary,fries_french_fries.png
1818,Dannon® Greek Yogurt,Light and Fit Strawberry,Dessert,ABC Commissary,Dannon_Greek_LnF_Strawberry.png
1819,Vegetarian Chili,,Side,ABC Commissary,chile_vegetarian.jpg
1820,New England Clam Chowder,,Side,ABC Commissary,soup_NE_clam_chowder.png
1822,Grilled Salmon,served with Vegetable Rice and Green Beans and Carrots,Entree,ABC Commissary,salmon_grilled_salmon_green_beans.jpg
1823,Lobster Roll,served with House-made Potato Chips,Entree,ABC Commissary,sandwich_LobsterRoll.png
1827,odwalla® Lemonade Slushy,featuring odwalla® Lemonade,Beverage,ABC Commissary,bev_odwalla_lemonade_slushy.png
1828,Seasonal Peach Cobbler,drizzled with Vanilla Sauce,Dessert,ABC Commissary,dessert_peach-cobbler.jpg
1829,Chicken Breast Nuggets and Fish,served with choice of Sides and Beverage,Kids,ABC Commissary,fried_Chicken-and-Fish.png
1832,Chicken Pot Pie,served with Green Beans and Carrots,Entree,ABC Commissary,Chicken-Pot-Pie.png
1838,Green Beans & Carrots,,Side,ABC Commissary,veg_green_beans_carrots.jpg
1839,Boston Cream Pie,,Dessert,ABC Commissary,dessert_boston-cream-pie.jpg
1841,Trio Platter,"a combination of Fried Shrimp, Battered Fish and Breaded Chicken Breast Nuggets served with Hushpuppies and a choice of Side",Entree,ABC Commissary,fried_shrimp_fish_chicken.png
1847,Chicken Breast Nuggets,served with choice of two Sides and a Beverage,Kids,ABC Commissary,fried_chicken_nuggets.png
1848,Macaroni & Cheese,served with choice of two Sides and a Beverage,Kids,ABC Commissary,mac-n-cheese.png
1849,Garden Salad with Chicken,served with two Sides and your choice of Beverage,Kids,ABC Commissary,salad_garden_salad_with_chicken.png
1850,Tuna Sandwich,served with two Sides and your choice of Beverage,Kids,ABC Commissary,sandwich_tuna_sandwich.png
1851,Smuckers® Uncrustables®,served with two Sides and your choice of Beverage,Kids,ABC Commissary,Smuckers_Uncrustables.jpg
1852,Dasani® Bottled Water,,Beverage,ABC Commissary,bev_dasani.jpg
1853,Nestlé® Hot Cocoa,,Beverage,ABC Commissary,bev_hot-chocolate.jpeg
1854,Hot Tea,,Beverage,ABC Commissary,bev_hot_tea.jpg
1855,Nestlé® Nesquik® Chocolate Milk,,Beverage,ABC Commissary,bev_choclate-milk.jpg
1856,Lowfat Milk,,Beverage,ABC Commissary,bev_milk.jpeg
1857,Simply Orange® Orange Juice,,Beverage,ABC Commissary,bev_orange_juice.jpeg
1858,Assorted Fountain Beverages - Regular,Assorted Coca-Cola® Offerings,Beverage,ABC Commissary,bev_fountain_beverages.jpeg
2205,French Fries,,Side,Columbia Harbor House,fries_french_fries.png
2207,No Sugar Added Strawberry Parfait,,Dessert,Columbia Harbor House,dessert_strawberry_parfait.jpeg
2208,Chocolate Mousse,,Dessert,Columbia Harbor House,dessert_chocolate_mousse.png
2210,1/3 lb Angus Bacon Cheeseburger,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg
2218,Strawberry Lemonade Slushy,featuring odwalla®,Beverage,Columbia Harbor House,bev_strawberry_lemonade_slush.jpeg
2221,Steak Fries,,Side,Columbia Harbor House,fries-transparent-steak.png
2222,Fire-roasted Corn Medley,,Side,Columbia Harbor House,veg_corn_medley.png
2234,Hummus and Flatbread,Hummus served with Flatbread,Side,Columbia Harbor House,hummus-flatbread.jpg
2236,Mediterranean Salad,Mediterranean Salad,Entree,Columbia Harbor House,salad_mediterranean-salad.png
2237,Mediterranean Salad with Chicken,tossed in a Mediterranean Vinaigrette and served with Hummus and Flatbread,Entree,Columbia Harbor House,salad_mediterranean_salad_chicken.png
2238,Chicken Club,"served with Coleslaw and choice of Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,sandwich_chicken_club.jpg
2243,Cheeseburger,served with choice of Sides and Beverage,Kids,Columbia Harbor House,burger_cheeseburger.jpeg
2244,Carved Turkey Sandwich,served with choice of Sides and Beverage,Kids,Columbia Harbor House,sandwich_turkey_sandwich.png
2245,Olaf Cupcake,Chocolate Cupcake,Dessert,Columbia Harbor House,dessert_chocolate_cupcake.jpeg
2246,Dasani® Bottled Water,,Beverage,Columbia Harbor House,bev_dasani.jpg
2248,Hot Tea,,Beverage,Columbia Harbor House,bev_hot_tea.jpg
2249,Nestlé® Nesquik® Chocolate Milk,,Beverage,Columbia Harbor House,bev_choclate-milk.jpg
2250,Lowfat Milk,,Beverage,Columbia Harbor House,bev_milk.jpeg
2251,smartwater®,,Beverage,Columbia Harbor House,bev_smartwater.jpeg
2252,Assorted Fountain Beverages - Regular,Assorted Coca-Cola® Offerings,Beverage,Columbia Harbor House,bev_fountain_beverages.jpeg
2253,Assorted Fountain Beverages - Large,Assorted Coca-Cola® Offerings,Beverage,Columbia Harbor House,bev_fountain_beverages.jpeg
2255,Bud Light,,Alcoholic Beverage,Columbia Harbor House,bev_Bud_Light-logo.png
2256,Yuengling,,Alcoholic Beverage,Columbia Harbor House,bev_yuengling_logo.png
2257,Beso Del Sol Sangria,,Alcoholic Beverage,Columbia Harbor House,bev_beso_del_sol_sangria.png
2293,Woodbridge by Robert Mondavi Chardonnay,,Alcoholic Beverage,Columbia Harbor House,bev_woodbridge.jpeg
2294,Woodbridge by Robert Mondavi Cabernet Sauvignon,,Alcoholic Beverage,Columbia Harbor House,bev_woodbridge.jpeg
